This file was created by CMPT_BEME_RETS using the 202309 CRSP database.,,,,,,,,,,,,,,,,,,,
It contains value- and equal-weighted returns for portfolios formed on BE/ME.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The portfolios are constructed at the end of June.  BE/ME is book equity at,,,,,,,,,,,,,,,,,,,
the last fiscal year end of the prior calendar year divided by ME at the end,,,,,,,,,,,,,,,,,,,
of December of the prior year.  ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The annual returns are from January to December.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The break points use Compustat firms plus the firms hand-collected from the,,,,,,,,,,,,,,,,,,,
Moodys Industrial, Utilities, Transportation, and Financial Manuals.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The  portfolios  use Compustat firms plus the firms hand-collected from the,,,,,,,,,,,,,,,,,,,
Moodys Industrial, Utilities, Transportation, and Financial Manuals.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The break points include utilities and include financials.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The  portfolios  include utilities and include financials.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  Equal Weight Returns -- Monthly,,,,,,,,,,,,,,,,,,,
Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,02-Dec,03-Dec,04-Dec,05-Dec,06-Dec,07-Dec,08-Dec,09-Dec,Hi 10
192607,-6.29,2.66,1.08,0.42,3.01,2.03,1,1.56,-0.81,4.52,1.53,1.99,2.07,0.07,1.96,0.23,2.88,-1.44,-0.17
192608,34.52,1.29,1.55,5.59,0.43,1.9,2.23,2.72,6.15,0.34,0.51,3,0.81,2.79,1.66,0.96,4.49,5.81,6.48
192609,-5.04,-1.7,-0.36,0.1,-1.97,-0.14,-0.92,-0.98,0.88,0.36,-4.25,-1.16,0.88,-0.74,-1.1,-0.5,-1.45,-2.17,3.93
192610,-7.11,-3.54,-3.31,-2.83,-3.98,-2.72,-3.14,-3.1,-3.23,-4.12,-3.83,-2.67,-2.78,-2.31,-3.98,-4.18,-2.01,-4.58,-1.88
192611,-5.83,2.07,3.25,2.8,2.43,2.9,2.51,3.51,2.44,4.44,0.47,1.35,4.45,3.56,1.47,3.51,3.51,2.23,2.66
192612,-9.19,3.03,2.04,1.8,3.53,2.4,1.27,2.7,1.42,4.21,2.86,2.03,2.76,0.88,1.67,2.82,2.58,1.29,1.54
192701,40.1,-0.11,-0.54,4,0.36,-1,-1.05,1.23,5.21,0.75,-0.02,-1.05,-0.96,-0.48,-1.63,0.86,1.6,1.8,8.7
192702,-15.01,4.43,4.8,8.56,4.33,4.78,4.58,5.78,9.57,4.32,4.34,4.64,4.93,4.58,4.58,5.08,6.5,8.67,10.51
192703,13.67,-1.01,-1.32,-3.3,-0.67,-0.91,-2.11,-2.03,-3.38,0.29,-1.62,-1.69,-0.14,-1.5,-2.73,-0.98,-3.13,-3.98,-2.75
192704,-1.64,0.27,0.05,2.88,0.16,0.22,-0.71,1.25,3.85,0.89,-0.56,0.48,-0.04,-0.59,-0.84,1.6,0.89,6.04,1.55
192705,-13.88,4.7,4.95,10.25,4.89,4.97,4.41,7.37,10.61,4.57,5.19,4.34,5.61,4.01,4.83,5.32,9.52,11.89,9.27
192706,16.64,-2.26,-1.74,-1.54,-1.24,-2.8,-1.79,-1.63,-1.7,-0.28,-2.18,-4.26,-1.31,-1.07,-2.55,-2.05,-1.2,-2.86,-0.49
192707,3.23,7.02,6.6,5.08,6.68,8.11,5.6,5.43,5.52,8.02,5.37,7.7,8.52,5.55,5.66,6.62,4.21,6.83,4.18
192708,6.25,2.58,-0.33,-0.66,2.12,1.78,0.12,-1.62,-0.18,3.91,0.37,3.52,0.08,-0.06,0.3,-1.63,-1.61,-0.5,0.14
192709,-7.35,3.56,3.22,2.52,4.45,3.2,3.48,2.52,1.91,3.82,5.07,1.77,4.6,3.47,3.5,1.33,3.73,2.57,1.25
192710,1.59,-1.5,-2.86,-7.31,-1.26,-2.71,-1.93,-4.24,-8.79,-1.21,-1.3,-1.99,-3.41,-1.84,-2.02,-4.11,-4.36,-8.52,-9.06
192711,0,9.14,8.63,10.91,8.31,10.02,8.73,8.4,11.85,7.97,8.66,10.78,9.27,9.65,7.82,7.78,9.04,11.28,12.44
192712,9.38,4,3.27,3.51,3.26,3.68,4.37,3.35,3.15,3.95,2.55,5.46,1.95,4.62,4.13,2.48,4.24,4.37,1.89
192801,0,1.82,1.94,4.74,1.91,2.4,1.49,1.93,5.99,1.46,2.38,1.64,3.15,0.53,2.42,1.61,2.25,3.21,8.84
192802,-31.43,-2.46,-1.38,-3.43,-2.61,-1.64,-1.62,-1.42,-4.32,-2.54,-2.68,-2.18,-1.11,-3.47,0.18,-1.19,-1.66,-3.51,-5.14
192803,45.83,8.53,6.68,8.12,8.76,8.38,6.28,4.46,10.52,9.55,7.9,8.1,8.67,7.31,5.28,5.51,3.39,10.24,10.81
192804,-5.71,4.14,7.69,11.52,3.8,8.32,7.18,4.36,15.28,1.59,6.16,4.81,11.82,8.11,6.27,4.64,4.08,7.69,23.04
192805,-7.58,2.99,3.16,3.84,2.54,2.47,3.14,4.37,4.02,4.54,0.4,3.86,1.04,4.58,1.73,5.22,3.49,4.4,3.63
192806,42.62,-5.75,-6.37,-7.53,-5.75,-4.69,-7.04,-7.2,-7.95,-5.33,-6.2,-5.75,-3.62,-6.73,-7.34,-7.71,-6.69,-9.61,-6.23
192807,-10.34,0.48,0.2,-0.47,0.98,-0.97,0.74,0.74,-1.08,0.55,1.43,-0.51,-1.44,0.58,0.9,0.73,0.75,-1.44,-0.73
192808,6.41,7.98,5.54,4.32,8.18,6.58,5.52,4.18,5.07,7.91,8.46,7.58,5.56,6.66,4.38,5.57,2.79,8.61,1.61
192809,0,4.39,3.54,7.69,4.17,3.59,4.02,3.51,9.89,4.73,3.6,4.81,2.34,4.93,3.12,3.75,3.26,9.91,9.87
192810,1.2,1.94,1.63,1.57,2.24,1.88,1.57,1.62,1.21,1.66,2.84,1.35,2.43,1.92,1.21,0.96,2.28,2.77,-0.31
