Instrument,Sell,Buy,Spread,% Change,Today High,Today Low,Margin
AUD/CAD,0.93203,0.93218,1.5,0.29,0.93238,0.92592,3.00%
AUD/CHF,0.68874,0.68898,2.4,-0.2,0.69183,0.68736,7.00%
AUD/HKD,5.87536,5.87681,14.5,0.48,5.87628,5.818,13.00%
AUD/JPY,85.644,85.66,1.6,0.12,85.659,85.116,6.00%
AUD/NZD,1.04762,1.04787,2.5,-0.1,1.04894,1.0456,6.00%
AUD/SGD,1.0151,1.01543,3.3,0.15,1.0153,1.00965,13.00%
AUD/USD,0.75544,0.75557,1.3,0.49,0.75555,0.748,4.90%
CAD/CHF,0.73891,0.73915,2.4,-0.52,0.74434,0.73856,4.00%
CAD/HKD,6.30319,6.30449,13,0.16,6.30762,6.28136,10.00%
CAD/JPY,91.884,91.9,1.6,-0.21,92.14,91.709,3.00%
CAD/SGD,1.08903,1.08935,3.2,-0.17,1.0916,1.08788,10.00%
CHF/HKD,8.52894,8.53079,18.5,0.67,8.53126,8.45866,14.00%
CHF/JPY,124.321,124.355,3.4,0.29,124.36,123.522,7.00%
CHF/ZAR,16.54089,16.55254,116.5,0.66,16.5731,16.39596,29.00%
EUR/AUD,1.54678,1.54698,2,0.21,1.55006,1.53962,6.00%
EUR/CAD,1.44176,1.44193,1.7,0.53,1.44332,1.43097,3.00%
EUR/CHF,1.06547,1.06562,1.5,0.02,1.06711,1.06405,7.00%
EUR/CZK,25.73612,25.74608,99.6,0.07,25.7678,25.69796,13.00%
EUR/DKK,7.43803,7.43922,11.9,-0.02,7.43952,7.43858,13.00%
EUR/GBP,0.84653,0.84665,1.2,0.26,0.8467,0.84228,6.00%
EUR/HKD,9.08844,9.08992,14.8,0.7,9.09362,9.00835,13.00%
EUR/HUF,361.227,361.48,25.3,-0.56,363.982,360.464,13.00%
EUR/JPY,132.479,132.498,1.9,0.32,132.513,131.559,6.00%
EUR/NOK,9.73463,9.73737,27.4,-0.35,9.79712,9.71014,6.00%
