,구분,ADM,MDM,GTAA,CP,PP,AS
0,,,,,,,
1,연평균수익률,8.5,18.7,14.7,9.5,6.5,8.8
2,STDEV,12.5,13.4,9.0,9.0,6.5,7.6
3,샤프지수,0.72,1.36,1.57,1.05,1.01,1.15
4,소르티노지수,1.41,2.75,3.58,1.89,1.78,2.41
5,UPI,3.01,6.27,10.23,4.28,4.83,5.77
6,Ulcer Index,2.81,2.98,1.43,2.2,1.34,1.51
7,MDD,-7.0,-8.1,-3.3,-5.8,-2.9,-3.6
8,MDD지점,22.02,22.02,21.11,22.02,22.01,22.02
9,MDD기간(월),2.0,2.0,2.0,2.0,2.0,2.0
10,승률(%),58.3,66.7,66.7,66.7,66.7,58.3
11,Best Month,7.0,7.0,4.9,4.4,2.9,3.9
12,Worst Month,-5.3,-5.3,-3.3,-4.0,-2.9,-3.0
13,포트 회전율,3.51,1.94,1.66,0.0,0.0,0.0
14,Backtest시작일,21.02,21.02,21.02,21.02,21.02,21.02
