This file was created by CMPT_ME_RETS using the 202309 CRSP database.  It contains,,,,,,,,,,,,,,,,,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Negative (not used)  30%  40%  30%     5 Quintiles    10 Deciles,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
The portfolios are constructed at the end of Jun.  The annual returns are from January,,,,,,,,,,,,,,,,,,,
to December.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Missing data are indicated by -99.99 or -999.,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
  Equal Weight Returns -- Monthly,,,,,,,,,,,,,,,,,,,
Date,<= 0,Lo 30,Med 40,Hi 30,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,02-Dec,03-Dec,04-Dec,05-Dec,06-Dec,07-Dec,08-Dec,09-Dec,Hi 10
192607,-99.99,-0.43,1.45,2.68,-0.57,0.37,1.65,1.5,3.33,-1.42,0.29,-0.15,0.88,1.45,1.85,1.63,1.38,3.38,3.29
192608,-99.99,3.74,3.03,2.09,3.6,3.64,3.66,1.58,2.33,4.61,2.59,4.03,3.24,2.66,4.67,1.54,1.63,0.98,3.7
192609,-99.99,-1.07,-0.59,0.16,-0.48,-1.55,0.03,-0.47,-0.09,0.91,-1.87,-2.27,-0.84,0.12,-0.07,-1.58,0.64,-0.86,0.67
192610,-99.99,-3.29,-3.56,-3.06,-3.25,-4.18,-2.9,-3.36,-2.95,-4.72,-1.77,-3.36,-5.01,-3.09,-2.71,-3.45,-3.27,-3.47,-2.43
192611,-99.99,-0.46,3.83,3.09,-0.54,2.25,3.37,3.37,3.16,-0.77,-0.32,-0.29,4.79,3.17,3.58,3.8,2.95,3.61,2.7
192612,-99.99,2.5,1.75,3.25,1.16,3.69,1.38,2.79,3.14,-2.65,4.96,5.25,2.13,1.5,1.27,2.13,3.45,3.27,3.01
192701,-99.99,1.84,1.35,0.23,2.59,1.41,0.68,1.21,-0.08,4.44,0.77,0.34,2.48,-0.72,2.1,1.59,0.83,0.27,-0.43
192702,-99.99,6.34,6.55,4.17,6.86,5.53,6.81,5.37,4.28,6.49,7.19,5.31,5.75,5.7,7.95,6.79,3.94,4.91,3.65
192703,-99.99,-3.07,-2,-0.61,-3.7,-1.67,-3.2,-1.12,0.19,-5.88,-1.65,-1.79,-1.54,-3.06,-3.34,-0.04,-2.19,-0.46,0.85
192704,-99.99,3.31,-0.26,0.05,4.58,-0.16,0.18,-0.28,0.14,4.12,5.01,0.68,-0.98,0.4,-0.05,-0.43,-0.12,-0.61,0.9
192705,-99.99,6.78,6.87,5.67,7.26,6.7,6.58,6.42,5.48,5.45,8.96,5.79,7.57,6.06,7.1,6.78,6.05,5.7,5.25
192706,-99.99,-2.43,-1.22,-2.9,-3.52,-0.38,-1.34,-2.26,-2.86,-1.97,-4.98,-0.14,-0.62,-2.43,-0.22,-1.57,-2.97,-3.59,-2.14
192707,-99.99,5.87,5.04,6.75,6.61,5.08,4.39,5.85,7.08,7.89,5.29,4.41,5.74,3.18,5.62,5.62,6.09,6.3,7.85
192708,-99.99,-0.39,0.14,1.68,-0.36,-0.07,-0.23,1.22,1.66,-0.63,-0.1,-0.42,0.29,-1.24,0.81,0.71,1.72,1.62,1.71
192709,-99.99,0.51,3.56,4.89,0.03,2.08,3.06,5.03,5.02,-0.69,0.75,1.47,2.68,1.75,4.39,5.43,4.63,4.7,5.34
192710,-99.99,-5.27,-2.51,-3.88,-6.54,-2.41,-2.84,-2.98,-4.01,-5.89,-7.2,-2.76,-2.06,-2.96,-2.72,-2.33,-3.63,-4.27,-3.76
192711,-99.99,15.9,7.47,7.16,16.72,10.21,7.84,7.99,6.81,21.84,11.8,14.32,6.1,7.56,8.12,8.13,7.85,7.07,6.56
192712,-99.99,3.19,2.74,3.48,3.99,1.84,3.85,2.62,3.23,4.28,3.7,1.65,2.03,3.06,4.63,1.28,3.95,5.73,0.73
192801,-99.99,8.4,1.98,-0.23,10.75,2.81,2.12,1.09,-0.46,16.09,5.6,3.87,1.73,2.79,1.45,1.95,0.22,0.23,-1.16
192802,-99.99,-1.9,-2.87,-2.15,-1.37,-3.14,-2.8,-2.87,-1.61,-1.49,-1.25,-2.92,-3.36,-3.68,-1.93,-2.52,-3.23,-2,-1.22
192803,-99.99,6.15,6.76,8.13,4.8,7.63,7.57,8.06,6.83,5.62,4,8.75,6.5,8.18,6.97,5.45,10.72,6.88,6.79
192804,-99.99,15.05,6.62,4.36,18.02,8.17,6.11,5.95,4.22,26.04,10.29,9.33,7,7.3,4.92,7.25,4.63,4.86,3.59
192805,-99.99,9.39,1.51,1.11,10.26,4.5,1.81,1.03,1.23,11.47,9.1,7.7,1.24,1.31,2.31,1.2,0.85,1.6,0.87
192806,-99.99,-9.18,-6.56,-4.63,-9.67,-7.49,-6.81,-5.73,-4.18,-9.35,-9.98,-8.25,-6.73,-7.94,-5.68,-5.92,-5.53,-4.22,-4.14
192807,-99.99,-0.86,0.54,1.14,-0.52,-1.22,1.01,0.85,1.37,-2.72,1.68,-1.55,-0.88,0.69,1.35,1.01,0.69,1.57,1.17
192808,-99.99,2.98,6.59,7.51,3.04,4.47,6.36,8.02,7.02,2.17,3.93,2.86,6.08,5.11,7.65,7.55,8.49,6.39,7.65
192809,-99.99,5.83,5.36,3.54,6.37,5.3,5.49,4.96,2.67,8.47,4.22,4.76,5.84,4.29,6.73,4.64,5.29,2.99,2.34
192810,-99.99,1.85,1.83,0.95,2.05,2.11,1.85,0.09,1.77,2.21,1.9,1.43,2.79,2.86,0.8,0.85,-0.67,1.67,1.87
192811,-99.99,12.5,11.03,11.46,14.26,8.08,12.86,10.48,12.32,12.92,15.63,8.99,7.18,11.37,14.4,11.21,9.75,9.98,14.62
192812,-99.99,-2.71,0.49,0.93,-3.07,-1.35,0.54,1.46,0.72,-2.27,-3.88,-2.01,-0.69,0.06,1.03,1.56,1.35,0.97,0.47
192901,-99.99,3.09,2.43,5.14,4.79,1.26,1.67,3.84,5.63,6.92,2.67,-0.31,2.84,1.49,1.86,3.51,4.16,6.34,4.93
192902,-99.99,0.84,1.24,-0.15,0.69,1.32,0.59,1.21,-0.31,2.99,-1.6,1.13,1.52,-0.47,1.64,2.26,0.16,-0.46,-0.15
192903,-99.99,-3.74,-4.47,-0.57,-4.08,-4.17,-4.35,-2.95,0.14,-4.72,-3.44,-3.05,-5.29,-3.89,-4.81,-3.88,-2,-0.04,0.32
192904,-99.99,0.79,2.33,0.91,2.13,0.71,1.61,1.31,1.47,5.05,-0.79,-1.88,3.3,1.33,1.88,2.8,-0.22,1.21,1.72
